,Current Courses,Wanted Courses
950,"['353', '454', '484']","['332', '431', '323']"
951,"['353', '322L', '471']","['362', '353', '323', '131']"
952,"['353', '462', '120']","['477', '464', '301']"
953,"['431', '481']","['477', '456', '322L']"
954,['335'],"['499', '481', '240']"
955,"['466', '301', '131', '362', '121', '223N']","['301', '466', '484']"
956,"['223J', '120', '440', '323', '483', '223H']","['353', '462', '489']"
957,"['223N', '323', '301', '463', '473']","['440', '223N', '466', '120', '322L', '476']"
958,"['323', '489', '240']","['131', '431', '223J', '463', '462', '491T']"
959,"['491T', '351', '440', '353', '131']","['476', '491T']"
960,"['223N', '486', '131']","['476', '485', '386']"
961,"['485', '131', '311', '223p', '431']",['313']
962,"['495', '301', '454', '481', '431']","['452', '483', '473', '439', '301', '463']"
963,['473'],['491T']
964,"['223J', '463', '120', '466']","['471', '485', '301', '452']"
965,"['456', '463', '471', '301']","['499', '484', '313']"
966,"['431', '440', '121', '313']","['254', '495', '454', '464']"
967,"['483', '323', '486']","['386', '315', '223H', '463', '332']"
968,"['476', '440', '464']","['254', '466', '489', '485']"
969,"['315', '486', '223H']","['131', '477', '481']"
970,"['483', '439', '499', '254']","['439', '440', '223C']"
971,['311'],"['499', '223p']"
972,"['440', '484', '362', '223J']","['491T', '386', '486', '454']"
973,"['473', '476', '466', '353']","['362', '481', '439', '462']"
974,"['223p', '362', '481', '121', '489']","['476', '486', '456', '462']"
975,"['499', '431', '456', '120']","['481', '315', '351', '223J']"
976,"['463', '473', '439', '464']","['439', '351']"
977,"['313', '452', '489', '315']","['332', '335', '499', '223N', '121']"
978,"['452', '353', '335', '477']","['495', '315', '223p', '463', '223N', '120']"
979,"['120', '131', '454']","['121', '223N', '431', '473', '131']"
980,"['484', '362', '311', '452', '301']","['131', '223N', '499', '386', '313']"
981,"['223H', '313', '120']","['499', '486', '485', '489', '491T', '223J']"
982,"['301', '439', '335', '332', '313']","['484', '431', '481']"
983,"['456', '491T', '454', '466']","['452', '301']"
984,"['431', '323', '131', '439', '240']","['254', '456', '223H', '120']"
985,"['483', '463', '322L']","['485', '223J', '486', '462']"
986,"['499', '486', '464', '313']","['462', '322L', '332', '223C']"
987,['335'],['120']
988,"['362', '351', '120']","['454', '223p', '476', '311']"
989,"['452', '223J', '483', '313']","['471', '332', '121']"
990,"['466', '223N', '439', '313', '120']",['477']
991,"['485', '332', '313', '484']","['464', '223C', '301', '332']"
992,"['131', '452', '440', '351', '311']","['476', '322L', '471']"
993,"['386', '452', '120', '322L']","['311', '495', '477', '466']"
994,"['131', '353', '476']","['439', '223N', '471', '452']"
995,['486'],"['462', '456']"
996,"['362', '439', '223p', '463', '473']","['121', '486', '223p']"
997,"['477', '481', '431', '121']","['315', '462', '332']"
998,"['362', '464', '489']","['223J', '439', '464', '386', '223p']"
999,"['463', '495', '489', '223p']","['481', '476', '431', '301', '362']"
